PartitionKey,RowKey,Timestamp,Folder,Foldertype,Height,Heighttype,ImageTypeId,ImageTypeIdtype,Jpg,Jpgtype,Quality,Qualitytype,Webp,Webptype,Width,Widthtype
pagewidget,PageWidget.468w,2020-03-23T10:46:56.694Z,468w,Edm.String,0,Edm.Int32,26,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,468,Edm.Int32
pagewidget,PageWidget.614w,2020-03-23T10:46:55.553Z,614w,Edm.String,0,Edm.Int32,26,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,614,Edm.Int32
pagewidget,PageWidget.650w,2020-03-23T10:46:55.347Z,650w,Edm.String,0,Edm.Int32,26,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,650,Edm.Int32
pagewidget,PageWidget.670w,2020-03-23T10:46:55.129Z,670w,Edm.String,0,Edm.Int32,26,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,670,Edm.Int32
pagewidget,PageWidget.750w,2020-03-23T10:46:54.008Z,750w,Edm.String,0,Edm.Int32,26,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,750,Edm.Int32
pagewidget,PageWidget.880w,2020-03-23T10:46:53.532Z,880w,Edm.String,0,Edm.Int32,26,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,880,Edm.Int32
pagewidget,PageWidget.900w,2020-03-23T10:46:53.362Z,900w,Edm.String,0,Edm.Int32,26,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,900,Edm.Int32
pagewidget,PageWidget.936w,2020-03-23T10:46:52.988Z,936w,Edm.String,0,Edm.Int32,26,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,936,Edm.Int32
pagewidget,PageWidget.950w,2020-03-23T10:46:52.598Z,950w,Edm.String,0,Edm.Int32,26,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,950,Edm.Int32
product,Product.170f170,2020-03-23T10:47:00.560Z,170f170,Edm.String,170,Edm.Int32,3,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,170,Edm.Int32
product,Product.200f200,2020-03-23T10:47:00.076Z,200f200,Edm.String,200,Edm.Int32,3,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,200,Edm.Int32
product,Product.210f210,2020-03-23T10:46:59.854Z,210f210,Edm.String,210,Edm.Int32,3,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,210,Edm.Int32
product,Product.21f21,2020-03-23T10:47:04.742Z,21f21,Edm.String,21,Edm.Int32,3,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,21,Edm.Int32
product,Product.300f300,2020-03-23T10:46:58.972Z,300f300,Edm.String,300,Edm.Int32,3,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,300,Edm.Int32
product,Product.400f400,2020-03-23T10:46:57.892Z,400f400,Edm.String,400,Edm.Int32,3,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,400,Edm.Int32
product,Product.500f500,2020-03-23T10:46:56.445Z,500f500,Edm.String,500,Edm.Int32,3,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,500,Edm.Int32
product,Product.600f600,2020-03-23T10:46:55.771Z,600f600,Edm.String,600,Edm.Int32,3,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,600,Edm.Int32
product,Product.700f700,2020-03-23T10:46:54.663Z,700f700,Edm.String,700,Edm.Int32,3,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,700,Edm.Int32
product,Product.1000f1000,2020-03-23T10:46:54.663Z,1000f1000,Edm.String,1000,Edm.Int32,3,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,1000,Edm.Int32
product,Product.2000f2000,2020-03-23T10:46:54.663Z,2000f2000,Edm.String,2000,Edm.Int32,3,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,2000,Edm.Int32
product,Product.85f85,2020-03-23T10:47:02.464Z,85f85,Edm.String,85,Edm.Int32,3,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,85,Edm.Int32
product,Product.90f90,2020-03-23T10:47:02.464Z,90f90,Edm.String,85,Edm.Int32,3,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,90,Edm.Int32
